Country Name,Country Code,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
North America,NAC,MW,313,316.1,319.1,321.8,324.9,327.9,331,334.2,337.4,340.5,343.4,346.1,348.8,351.4,354.2,356.8,359.5,362.1
Namibia,NAM,MW,1.9,1.9,2,2,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.5
New Caledonia,NCL,MW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Niger,NER,MW,11.4,11.8,12.2,12.7,13.1,13.6,14.1,14.7,15.2,15.8,16.4,17.1,17.7,18.4,19.1,19.9,20.7,21.5
Nigeria,NGA,MW,122.4,125.5,128.7,132,135.4,138.9,142.6,146.4,150.3,154.4,158.6,162.9,167.3,171.8,176.5,181.2,186,190.9
Nicaragua,NIC,MW,5,5.1,5.2,5.2,5.3,5.4,5.5,5.5,5.6,5.7,5.7,5.8,5.9,5.9,6,6.1,6.1,6.2
Netherlands,NLD,MW,15.9,16,16.1,16.2,16.3,16.3,16.3,16.4,16.4,16.5,16.6,16.7,16.8,16.8,16.9,16.9,17,17.1
Norway,NOR,MW,4.5,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.9,5,5,5.1,5.1,5.2,5.2,5.3
Nepal,NPL,MW,23.7,24.2,24.6,25,25.3,25.6,25.9,26.2,26.5,26.7,27,27.3,27.6,28,28.3,28.7,29,29.3
Nauru,NRU,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,NZL,MW,3.9,3.9,3.9,4,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.6,4.7,4.7
OECD members,OED,MW,1156.6,1164.8,1173,1181.3,1189.7,1198.1,1206.8,1215.9,1225.4,1234.2,1242.4,1248.8,1256.6,1264.7,1273.1,1281.4,1289.9,1296.8
Oman,OMN,MW,2.3,2.3,2.3,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3,3.2,3.5,3.7,4,4.2,4.4,4.6
Other small states,OSS,MW,20.9,21.3,21.7,22.1,22.6,23.1,23.7,24.3,25,25.6,26.3,26.9,27.5,28.1,28.8,29.4,30,30.6
Pakistan,PAK,MW,138.5,141.6,144.7,147.7,150.8,153.9,157.1,160.3,163.6,167,170.6,174.2,177.9,181.7,185.5,189.4,193.2,197
Panama,PAN,MW,3,3.1,3.1,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.9,4,4,4.1
Peru,PER,MW,25.9,26.3,26.6,26.9,27.3,27.6,27.9,28.3,28.6,29,29.4,29.8,30.2,30.6,31,31.4,31.8,32.2
Philippines,PHL,MW,78,79.7,81.4,83,84.7,86.3,87.8,89.3,90.8,92.2,93.7,95.3,96.9,98.5,100.1,101.7,103.3,104.9
Palau,PLW,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,PNG,MW,5.6,5.7,5.9,6,6.2,6.3,6.5,6.6,6.8,6.9,7.1,7.3,7.4,7.6,7.8,7.9,8.1,8.3
Poland,POL,MW,38.3,38.2,38.2,38.2,38.2,38.2,38.1,38.1,38.1,38.2,38,38.1,38.1,38,38,38,37.9,37.9
Pre-demographic dividend,PRE,MW,554.1,570,586.6,603.8,621.6,639.9,658.6,677.8,697.5,718,739.1,760.9,783.5,806.7,830.4,854.6,879.3,904.4
Puerto Rico,PRI,MW,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4
"Korea, Dem. People’s Rep.",PRK,MW,22.9,23.1,23.3,23.5,23.7,23.9,24.1,24.2,24.3,24.5,24.6,24.7,24.9,25,25.1,25.2,25.4,25.5
Portugal,PRT,MW,10.3,10.4,10.4,10.5,10.5,10.5,10.5,10.5,10.6,10.6,10.6,10.6,10.5,10.5,10.4,10.4,10.3,10.3
Paraguay,PRY,MW,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6,6.1,6.2,6.3,6.4,6.5,6.6,6.6,6.7,6.8
West Bank and Gaza,PSE,MW,2.9,3,3.1,3.2,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.2,4.3,4.4,4.6,4.7
Pacific island small states,PSS,MW,2,2,2,2,2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.4
Post-demographic dividend,PST,MW,1020.6,1025.7,1030.7,1035.9,1041.3,1046.6,1052.2,1058.2,1064.6,1070.1,1075.1,1078.1,1082.7,1087.6,1092.6,1097.6,1102.7,1106.3
French Polynesia,PYF,MW,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Qatar,QAT,MW,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.4,1.6,1.8,2,2.1,2.3,2.4,2.5,2.6,2.6
Romania,ROU,MW,22.4,22.1,21.7,21.6,21.5,21.3,21.2,20.9,20.5,20.4,20.2,20.1,20.1,20,19.9,19.8,19.7,19.6
Russian Federation,RUS,MW,146.6,146,145.3,144.6,144.1,143.5,143,142.8,142.7,142.8,142.8,143,143.2,143.5,143.8,144.1,144.3,144.2
Rwanda,RWA,MW,8,8.3,8.5,8.7,8.8,9,9.2,9.4,9.7,10,10.2,10.5,10.8,11.1,11.3,11.6,11.9,12.2
South Asia,SAS,MW,1386.5,1412,1437.5,1462.8,1487.8,1512.5,1536.8,1560.7,1584.2,1607.6,1630.7,1653.8,1676.6,1699.3,1721.8,1744.2,1766.4,1788.2
Saudi Arabia,SAU,MW,20.8,21.3,21.9,22.6,23.2,23.9,24.6,25.3,25.9,26.7,27.4,28.2,29.1,29.9,30.8,31.6,32.3,32.9
Sudan,SDN,MW,27.3,27.9,28.7,29.4,30.2,30.9,31.6,32.3,33,33.7,34.4,35.2,36,36.8,37.7,38.6,39.6,40.5
Senegal,SEN,MW,9.9,10.1,10.4,10.7,11,11.3,11.6,11.9,12.2,12.6,12.9,13.3,13.7,14.1,14.5,15,15.4,15.9
Singapore,SGP,MW,4,4.1,4.2,4.1,4.2,4.3,4.4,4.6,4.8,5,5.1,5.2,5.3,5.4,5.5,5.5,5.6,5.7
Solomon Islands,SLB,MW,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Sierra Leone,SLE,MW,4.6,4.7,5,5.2,5.4,5.7,5.8,6,6.2,6.3,6.5,6.6,6.8,6.9,7.1,7.2,7.4,7.6
El Salvador,SLV,MW,5.9,5.9,5.9,6,6,6,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.4
San Marino,SMR,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,SOM,MW,9,9.3,9.6,9.8,10.1,10.4,10.7,11,11.4,11.7,12.1,12.4,12.8,13.1,13.5,13.9,14.3,14.7
Serbia,SRB,MW,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.3,7.3,7.2,7.2,7.2,7.1,7.1,7.1,7
Sub-Saharan Africa (excluding high income),SSA,MW,669.7,687.5,705.8,724.8,744.5,764.8,785.8,807.6,830,853.2,876.9,901.4,926.5,952.2,978.5,1005.5,1033,1060.9
South Sudan,SSD,MW,6.7,7,7.2,7.5,7.8,8.1,8.5,8.9,9.3,9.7,10.1,10.4,10.8,11.2,11.5,11.9,12.2,12.6
Sub-Saharan Africa,SSF,MW,669.8,687.5,705.9,724.9,744.5,764.9,785.9,807.7,830.1,853.2,877,901.5,926.5,952.3,978.6,1005.6,1033.1,1061
Small states,SST,MW,29.4,29.9,30.4,30.8,31.4,31.9,32.6,33.3,34,34.7,35.5,36.2,36.9,37.6,38.3,38.9,39.6,40.3
Sao Tome and Principe,STP,MW,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Suriname,SUR,MW,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
Slovak Republic,SVK,MW,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Slovenia,SVN,MW,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Sweden,SWE,MW,8.9,8.9,8.9,9,9,9,9.1,9.1,9.2,9.3,9.4,9.4,9.5,9.6,9.7,9.8,9.9,10
Swaziland,SWZ,MW,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4
Sint Maarten (Dutch part),SXM,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seychelles,SYC,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Syrian Arab Republic,SYR,MW,16.4,16.8,17.1,17.4,17.8,18.3,18.9,19.6,20.3,20.8,21,20.9,20.4,19.8,19.2,18.7,18.4,18.3
Turks and Caicos Islands,TCA,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,MW,8.3,8.7,9,9.4,9.7,10.1,10.4,10.8,11.1,11.5,11.9,12.3,12.7,13.1,13.6,14,14.5,14.9
East Asia & Pacific (IDA & IBRD countries),TEA,MW,1790.3,1807.3,1823.6,1839.2,1854.5,1869.6,1884.3,1898.4,1912.4,1926.3,1940.1,1954,1968.1,1982.4,1996.9,2011.3,2026,2038.5
Europe & Central Asia (IDA & IBRD countries),TEC,MW,435.3,435.1,434.8,434.9,435.2,435.6,436.2,436.8,437.9,439.6,441.5,443.6,445.8,448.2,450.5,453,455.4,457.1
Togo,TGO,MW,5,5.1,5.3,5.4,5.5,5.7,5.8,6,6.2,6.3,6.5,6.7,6.9,7,7.2,7.4,7.6,7.8
Thailand,THA,MW,63,63.5,64.1,64.6,65,65.4,65.8,66.2,66.5,66.9,67.2,67.5,67.8,68.1,68.4,68.7,68.9,69
Tajikistan,TJK,MW,6.2,6.3,6.4,6.6,6.7,6.9,7,7.2,7.3,7.5,7.6,7.8,8,8.2,8.4,8.5,8.7,8.9
Turkmenistan,TKM,MW,4.5,4.6,4.6,4.7,4.7,4.8,4.8,4.9,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8
Latin America & the Caribbean (IDA & IBRD countries),TLA,MW,508.8,516.1,523.3,530.3,537.4,544.5,551.6,558.8,566,573.1,580.2,587.3,594.3,601.3,608.1,614.9,621.5,628.1
Timor-Leste,TLS,MW,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
Middle East & North Africa (IDA & IBRD countries),TMN,MW,278,283,288,293,298,303.3,308.7,314.2,319.9,325.8,331.8,337.9,344.1,350.5,356.8,363,369.2,375.2
Tonga,TON,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
South Asia (IDA & IBRD),TSA,MW,1386.5,1412,1437.5,1462.8,1487.8,1512.5,1536.8,1560.7,1584.2,1607.6,1630.7,1653.8,1676.6,1699.3,1721.8,1744.2,1766.4,1788.2
Sub-Saharan Africa (IDA & IBRD countries),TSS,MW,669.8,687.5,705.9,724.9,744.5,764.9,785.9,807.7,830.1,853.2,877,901.5,926.5,952.3,978.6,1005.6,1033.1,1061
Trinidad and Tobago,TTO,MW,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4
Tunisia,TUN,MW,9.7,9.8,9.9,9.9,10,10.1,10.2,10.3,10.4,10.5,10.6,10.8,10.9,11,11.1,11.3,11.4,11.5
Turkey,TUR,MW,63.2,64.2,65.1,66.1,67,67.9,68.8,69.6,70.4,71.3,72.3,73.4,74.6,75.8,77,78.3,79.5,80.7
Tuvalu,TUV,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,TZA,MW,34.2,35.1,36.1,37.1,38.2,39.4,40.6,41.9,43.3,44.7,46.1,47.6,49.1,50.6,52.2,53.9,55.6,57.3
Uganda,UGA,MW,24,24.9,25.7,26.6,27.6,28.5,29.6,30.6,31.7,32.8,33.9,35.1,36.3,37.6,38.8,40.1,41.5,42.9
Ukraine,UKR,MW,49.2,48.7,48.2,47.8,47.5,47.1,46.8,46.5,46.3,46.1,45.9,45.7,45.6,45.5,45.3,45.2,45,44.8
Upper middle income,UMC,MW,2284.7,2304,2322.3,2340.4,2358.2,2376,2393.6,2410.9,2428.4,2446.5,2464.5,2482.9,2502,2521.5,2541.1,2560.4,2579.9,2596.4
Uruguay,URY,MW,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5
United States,USA,MW,282.2,285,287.6,290.1,292.8,295.5,298.4,301.2,304.1,306.8,309.3,311.7,314,316.2,318.6,320.9,323.1,325.5
Uzbekistan,UZB,MW,24.7,25,25.3,25.6,25.9,26.2,26.5,26.9,27.3,27.8,28.6,29.3,29.8,30.2,30.8,31.3,31.8,32.3
St. Vincent and the Grenadines,VCT,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Venezuela, RB",VEN,MW,24.5,24.9,25.4,25.9,26.3,26.8,27.2,27.7,28.1,28.6,29,29.5,29.9,30.3,30.7,31.2,31.6,32
British Virgin Islands,VGB,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands (U.S.),VIR,MW,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Vietnam,VNM,MW,77.6,78.6,79.5,80.5,81.4,82.4,83.3,84.2,85.1,86,86.9,87.9,88.8,89.8,90.7,91.7,92.7,93.7
Vanuatu,VUT,MW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
World,WLD,MW,6118.1,6197.6,6276.8,6356.3,6436.3,6517,6598.4,6680.4,6763.7,6847.2,6930.7,7012.8,7097.4,7182.9,7269,7355.2,7442.1,7524
Samoa,WSM,MW,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Kosovo,XKX,MW,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
"Yemen, Rep.",YEM,MW,17.9,18.4,18.9,19.5,20,20.6,21.2,21.8,22.4,23,23.6,24.3,24.9,25.6,26.2,26.9,27.6,28.2
South Africa,ZAF,MW,44.9,45.3,45.9,46.4,47,47.6,48.2,48.9,49.6,50.3,51,51.7,52.5,53.3,54.1,55,55.9,56.6
Zambia,ZMB,MW,10.5,10.8,11.1,11.4,11.7,12.1,12.4,12.7,13.1,13.5,13.9,14.3,14.7,15.2,15.6,16.1,16.6,17.1
Zimbabwe,ZWE,MW,12.2,12.4,12.5,12.6,12.8,12.9,13.1,13.3,13.6,13.8,14.1,14.4,14.7,15.1,15.4,15.8,16.2,16.5
