Data Source,World Development Indicators,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,5572222,5716152,5862316,6010724,6161517,6314709,6470272,6627922,6787187,6947447,7108239,7269348
Poland,POL,"Population, total",SP.POP.TOTL,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,554097477,569959700,586553190,603809871,621611464,639876871,658586521,677788806,697549138,717959651,739082260,760942116
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,22929075,23131810,23336681,23538540,23729498,23904167,24061097,24203289,24335146,24463021,24591599,24722298
Portugal,PRT,"Population, total",SP.POP.TOTL,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560
Paraguay,PRY,"Population, total",SP.POP.TOTL,5302700,5406624,5508611,5607950,5703740,5795494,5882796,5966159,6047117,6127837,6209877,6293783
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3596688,3702218,3811102,3927051
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,1964221,1985713,2006441,2027202,2049012,2072666,2098522,2126308,2155439,2184920,2214096,2242763
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1020591851,1025668442,1030742327,1035918960,1041303142,1046610825,1052236679,1058174512,1064603305,1070107590,1075140985,1078083259
French Polynesia,PYF,"Population, total",SP.POP.TOTL,237258,241273,245006,248499,251775,254886,257832,260594,263179,265581,267820,269843
Qatar,QAT,"Population, total",SP.POP.TOTL,592267,616886,645659,688586,758855,864863,1010382,1189633,1389342,1590780,1779676,1952054
Romania,ROU,"Population, total",SP.POP.TOTL,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528
Russian Federation,RUS,"Population, total",SP.POP.TOTL,146596557,145976083,145306046,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868
Rwanda,RWA,"Population, total",SP.POP.TOTL,8025703,8329406,8536205,8680346,8818438,8991735,9206580,9447402,9708169,9977446,10246842,10516071
South Asia,SAS,"Population, total",SP.POP.TOTL,1386504523,1411993292,1437450586,1462776158,1487832276,1512521166,1536799012,1560689001,1584247163,1607562312,1630729920,1653756466
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,20764312,21303592,21906308,22556425,23228890,23905654,24578301,25252569,25940770,26661492,27425676,28238020
Sudan,SDN,"Population, total",SP.POP.TOTL,27250535,27945005,28679565,29435944,30186341,30911914,31607064,32282526,32955496,33650619,34385963,35167314
Senegal,SEN,"Population, total",SP.POP.TOTL,9884052,10134497,10396861,10670990,10955944,11251266,11556763,11873557,12203957,12550917,12916229,13300910
Singapore,SGP,"Population, total",SP.POP.TOTL,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,412609,423853,435262,446769,458324,469885,481422,492940,504477,516079,527790,539614
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,4564297,4739147,4957216,5199549,5439695,5658379,5848692,6015417,6165372,6310260,6458720,6611692
El Salvador,SLV,"Population, total",SP.POP.TOTL,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560
San Marino,SMR,"Population, total",SP.POP.TOTL,27418,27762,28121,28494,28866,29240,29614,29977,30351,30723,31110,31504
Somalia,SOM,"Population, total",SP.POP.TOTL,9011479,9290823,9564167,9836397,10116228,10409925,10718317,11038596,11369276,11707990,12053223,12404725
Serbia,SRB,"Population, total",SP.POP.TOTL,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,669737048,687462724,705845436.9,724827302.9,744459949,764783733.2,785820414.5,807571797,830024044.3,853151354.1,876933366.4,901368314.4
South Sudan,SSD,"Population, total",SP.POP.TOTL,6700656,6974442,7237276,7501642,7787655,8108877,8468152,8856800,9263136,9670667,10067192,10448857
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,669818179,687543926,705929159.9,724910083.9,744542424,764866591.2,785905014.5,807656830,830111000.3,853238652.1,877023136.4,901455755.4
Small states,SST,"Population, total",SP.POP.TOTL,29439900,29892023,30354957,30840609,31367482,31949551,32592554,33291250,34023435,34745372,35467734,36173803
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,138606,141622,144889,148372,151969,155630,159328,163101,166913,170813,174776,178800
Suriname,SUR,"Population, total",SP.POP.TOTL,472390,477740,483044,488332,493630,498946,504307,509705,515148,520619,526103,531589
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384
Slovenia,SVN,"Population, total",SP.POP.TOTL,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843
Sweden,SWE,"Population, total",SP.POP.TOTL,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1061468,1072927,1080930,1087392,1095053,1105873,1120514,1138434,1158897,1180675,1202843,1225258
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,30519,31189,32566,33790,35316,36934,38270,39462,40458,39133,35474,33435
Seychelles,SYC,"Population, total",SP.POP.TOTL,81131,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16410848,16766899,17087901,17415266,17806638,18294611,18914977,19632806,20325443,20824893,21018834,20863993
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,18873,20185,21742,23410,25028,26448,27642,28640,29481,30245,30994,31731
Chad,TCD,"Population, total",SP.POP.TOTL,8342559,8663012,9001689,9353201,9710043,10067009,10421597,10775708,11133861,11502786,11887202,12288651
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1790334133,1807343753,1823578257,1839213961,1854486630,1869631076,1884292297,1898416530,1912402987,1926269218,1940064830,1953970563
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,435342598,435134241,434804671,434924961,435247221,435634937,436152601,436814265,437864853,439624552,441513488,443585208
Togo,TGO,"Population, total",SP.POP.TOTL,4970367,5111770,5251472,5391401,5534598,5683268,5837792,5997385,6161796,6330472,6502952,6679282
Thailand,THA,"Population, total",SP.POP.TOTL,62958021,63543322,64073164,64554952,65002231,65425470,65824164,66195615,66545760,66881867,67208808,67530130
Tajikistan,TJK,"Population, total",SP.POP.TOTL,6216205,6327125,6447688,6576877,6712841,6854176,7000557,7152385,7309728,7472819,7641630,7815949
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4516131,4564080,4610002,4655741,4703398,4754641,4810105,4870137,4935762,5007950,5087210,5174061
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,508826710,516120111,523270767,530331985,537377388,544459791,551595525,558768052,565956228,573125269,580246796,587315129
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,871607,892531,923825,960852,996698,1026484,1048621,1064973,1078110,1092021,1109591,1131523
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,278033137,283018341,287975628,292959567,298041669,303274818,308672973,314226665,319934461,325786717,331770455,337894992
Tonga,TON,"Population, total",SP.POP.TOTL,98082,98611,99184,99789,100406,101041,101689,102357,103005,103604,104137,104577
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1386504523,1411993292,1437450586,1462776158,1487832276,1512521166,1536799012,1560689001,1584247163,1607562312,1630729920,1653756466
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,669818179,687543926,705929159.9,724910083.9,744542424,764866591.2,785905014.5,807656830,830111000.3,853238652.1,877023136.4,901455755.4
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1267984,1272380,1277837,1284052,1290535,1296934,1303144,1309260,1315372,1321618,1328100,1334788
Tunisia,TUN,"Population, total",SP.POP.TOTL,9699197,9785701,9864326,9939678,10017601,10102482,10196136,10298087,10407336,10521834,10639931,10761467
Turkey,TUR,"Population, total",SP.POP.TOTL,63240121,64191474,65143054,66085803,67007855,67903406,68763405,69597281,70440032,71339185,72326914,73409455
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9420,9512,9635,9767,9894,10027,10137,10243,10340,10441,10531,10628
Tanzania,TZA,"Population, total",SP.POP.TOTL,34178042,35117019,36105808,37149072,38249984,39410545,40634948,41923715,43270144,44664231,46098591,47570902
Uganda,UGA,"Population, total",SP.POP.TOTL,24039274,24854892,25718048,26624820,27568436,28543940,29550662,30590487,31663896,32771895,33915133,35093648
Ukraine,UKR,"Population, total",SP.POP.TOTL,49175848,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2284670482,2303956411,2322321869,2340363117,2358173887,2376019944,2393626721,2410867952,2428374657,2446466231,2464534816,2482888622
Uruguay,URY,"Population, total",SP.POP.TOTL,3321245,3327103,3327773,3325637,3324096,3325612,3331043,3339741,3350824,3362755,3374415,3385624
United States,USA,"Population, total",SP.POP.TOTL,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309348193,311663358
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,107898,107988,108146,108350,108559,108744,108907,109047,109165,109253,109315,109341
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,24488340,24948476,25408700,25868523,26327225,26784161,27239168,27691965,28141701,28587323,29028033,29463291
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20645,21085,21529,22000,22541,23168,23905,24731,25604,26447,27224,27901
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108639,108386,108208,108085,107950,107863,107700,107423,107091,106707,106267,105784
Vietnam,VNM,"Population, total",SP.POP.TOTL,77630900,78620500,79537700,80467400,81436400,82392100,83311200,84218500,85118700,86025000,86932500,87860300
Vanuatu,VUT,"Population, total",SP.POP.TOTL,185063,189290,193956,198964,204143,209370,214634,219953,225340,230785,236295,241871
World,WLD,"Population, total",SP.POP.TOTL,6118075293,6197638117,6276824418,6356259574,6436346998,6517020798,6598421257,6680423047,6763745673,6847214549,6930656699,7012843635
Samoa,WSM,"Population, total",SP.POP.TOTL,174610,175566,176582,177662,178781,179929,181094,182286,183526,184826,186205,187665
Kosovo,XKX,"Population, total",SP.POP.TOTL,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,17874725,18390135,18919179,19462086,20017068,20582927,21160534,21751605,22356391,22974929,23606779,24252206
South Africa,ZAF,"Population, total",SP.POP.TOTL,44896856,45312937,45855482.88,46418193.9,47001700.99,47606670.24,48233804.48,48883844.99,49557573.3,50255813.11,50979432.36,51729345.36
Zambia,ZMB,"Population, total",SP.POP.TOTL,10531221,10824125,11120409,11421984,11731746,12052156,12383446,12725974,13082517,13456417,13850033,14264756
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,12222251,12366165,12500525,12633897,12777511,12940032,13124267,13329909,13558469,13810599,14086317,14386649
